,0,1,0,1,0,1
0,google,0.11787161199086749,google,0.12883128826568963,home,0.04809307302100054
1,home,0.03340540216348184,home,0.04754013612122708,google,0.03915089084483301
2,amazon,0.021528343996045016,calendar,0.015047064665012901,echo,0.023916461184492643
3,echo,0.01865141187357495,list,0.014644302691462902,amazon,0.015085969497401323
4,assistant,0.0141754649871419,control,0.009954079361969176,learn,0.0089830775142021
5,timer,0.013969109003985083,request,0.009420712555380913,purchase,0.008570651950005987
6,information,0.011678711161054917,listen,0.008417779043040391,connect,0.006827456927847825
7,family,0.008962419208067647,shop,0.0074730021484528545,item,0.006654437310726829
8,search,0.008803758967698154,youtube,0.00746577831541266,alarm,0.006594958968383173
9,try,0.008231262582584128,echo,0.006816318768763573,quality,0.006319816213370822
10,order,0.007499966012384417,search,0.006800498233908834,family,0.006109369600825387
11,joke,0.007313464794841109,house,0.006560427979799653,app,0.005931418826718554
12,control,0.007093688002963379,feel,0.006265345439768568,tv,0.00575742602714565
13,android,0.0061871053244616486,talk,0.0061743128060308475,news,0.0053119661559600335
14,request,0.006059746675579381,try,0.005480387393041443,update,0.005232129564491433
15,fast,0.005754414804306379,box,0.005317579826769965,service,0.005030132538640138
16,news,0.005584237333621926,android,0.005079448557511699,kid,0.004919510791613362
17,pay,0.005383018295332658,highly,0.00485921968069214,recommend,0.004844580238485137
18,chromecast,0.005339609159167986,amazon,0.004744768814030426,room,0.004837209249539232
19,open,0.005174420352882591,technology,0.00448006852347295,command,0.004783230435421898
20,option,0.0050186926826194045,recognition,0.0043042193790923155,game,0.004748283237257022
21,pandora,0.004861398605534777,start,0.004239015003860765,information,0.004344017601778524
22,learn,0.004731298939886774,son,0.004230854945023929,house,0.0041974832934159635
23,recommend,0.004727301020708103,volume,0.004208500899949207,system,0.004119021902611008
24,name,0.004643091498814406,download,0.004098928554404566,help,0.0040647425257349795
25,list,0.004445187530907594,small,0.0038684504565165293,setup,0.0037437115188068263
26,different,0.0044247103450430845,mini,0.003815260915335551,list,0.003712787154676769
27,functionality,0.004230592402549184,simple,0.003585581169997018,wait,0.0036987237684114674
28,calendar,0.00420336125588021,option,0.0033596113330319837,expect,0.0036314643666005434
29,husband,0.004169423032884112,purchase,0.003331832529538838,account,0.0033978732772655677
